generation,best_fitness,worst_fitness,mean_fitness,median_fitness,std_fitness,num_modules
1,0.6617671462556229,0.23580415821243242,0.39349360742429246,0.37149327016469574,0.1332979558627526,18
2,0.6617671462556229,0.3740306922009691,0.49347945294810175,0.45405590470744744,0.092851145763684,18
3,0.8540669357821642,0.45405590470744744,0.5718277349963381,0.5278794052568819,0.1135303515101203,18
4,0.8540669357821642,0.5565021342593853,0.6409905416932089,0.6038770313104396,0.08419278102264925,18
5,0.8805273841549367,0.594670235385424,0.7044436727680761,0.6617671462556229,0.09518722337504557,18
6,0.8805273841549367,0.6412142817449793,0.734614962048554,0.7182833130117284,0.08476200084889268,18
7,0.9297323168107147,0.6476716693554063,0.7634667655551275,0.7342399708883796,0.09636845815487032,18
8,0.9297323168107147,0.6617671462556229,0.8047425684364669,0.8152851883431331,0.08400937674072181,18
9,0.9297323168107147,0.6997681256866505,0.8085426663795696,0.8152851883431331,0.07810826373868356,18
10,0.9297323168107147,0.7182833130117284,0.8193200458327343,0.8152851883431331,0.06929400432495317,18
